ID	title	artist_name	artist_id	composers_name	composers_id	release_time
1073748245	Đêm Chôn Dầu Vượt Biển	Như Quỳnh	551	Châu Đình An	5765	2017-10-01 22:07:00
1073751978	Mùa Thu Trong Mưa	Minh Tuyết	455	Trường Sa	100105	2017-10-01 20:58:00
1073835561	Rồi Ánh Trăng Tan	Lưu Bích	450	Quốc Bảo	4355	2017-11-01 18:16:00
1073856553	Còn Thương Rau Đắng Mọc Sau Hè	Như Quỳnh	551	Bắc Sơn	7686	2017-11-01 17:36:00
1073929630	Người Điên Biết Yêu	Như Loan	513	Lê Minh Kha	100466	2017-11-01 17:49:00
1073929880	Đàn Bà	Don Hồ	6515	Song Ngọc	100288	2017-10-01 21:33:00
1073949310	Yêu Một Người Sống Bên Một Người	Minh Tuyết	455	Hoài An	100133	2017-11-01 18:27:00
1073994297	Mất Nhau Trong Đời	Minh Tuyết	455	Huỳnh Nhật Tân	100306	2017-11-01 18:27:00
1073994298	Những Ân Tình Xưa	Minh Tuyết, Bằng Kiều	455.306	Hoài An	100133	2017-11-01 18:27:00
1073994300	Ở Nơi Đó Em Cười	Minh Tuyết	455	Hoài An	100133	2017-11-01 18:27:00
1074011942	Tình Chấp Nhận	Quỳnh Vi	7928	Trần Đức	7898	2017-11-01 18:49:00
1074239565	Rồi Mai Tôi Đưa Em	Trần Thái Hòa	901	Trường Sa	100105	2017-10-01 20:58:00
1074245455	Thiên Đàng Đánh Mất	Dương Triệu Vũ	5072	Nguyễn Hồng Thuận	9140	2017-11-01 18:42:00
1074245511	Vai Phụ	Loan Châu	827	Phạm Khải Tuấn	100116	2017-10-01 21:22:00
1074247432	Tình Nhỏ Mau Quên	Quang Lê, Hương Thủy	828.87	Hàn Châu	100406	2017-10-01 22:32:00
1074254689	Chơi Vơi Dòng Đời	Duy Linh	918	Huy Liêu	430572	2017-11-07 23:40:00
1074254690	Dòng Sông Quê Hương	Lan Phương	6517	Huy Liêu	430572	2017-11-07 23:43:00
1074254711	Chúc Mừng Xuân Mới	Cadillac	2247	Huy Liêu	430572	2017-11-07 23:44:00
1074254733	Bên Đời Đã Vắng	Xuân Phú	3184	Huy Liêu, Hồ Thi Ca	430572.430555	2017-11-07 23:40:00
