config/bagging_fraction,config/bagging_freq,config/boost_from_average,config/boosting_type,config/class_weight,config/colsample_bytree,config/feature_fraction,config/iterations,config/learning_rate,config/max_depth,config/metric,config/min_child_samples,config/min_data_in_leaf,config/num_leaves,config/num_threads,config/objective,config/reg_alpha,config/reg_lambda,config/seed,config/subsample_for_bin,config/tree_learner,config/use_missing,config/verbosity,mean_loss,time_total_s,training_iteration,trial_id
{'gbdt': 0.9652511481157756},{'gbdt': 1},false,"{'boosting_type': 'gbdt', 'subsample': 0.6719105822799947}",,0.816062661132784,0.6723596685575122,99999,0.0013252850145479263,-1,root_mean_squared_error,91,10,49,1,regression,0.7239504943143635,0.8460949155696275,99999,10,serial,True,1,1.9291807664976424,1840.4561755657198,1,0d46fa48
{'gbdt': 0.9827479637541893},{'gbdt': 17},false,{'boosting_type': 'goss'},balanced,0.8327634189160726,0.5343670638213662,99999,0.0013585885914336976,-1,root_mean_squared_error,69,11,89,1,regression,0.09210738622239611,0.6866493481045307,99999,14,serial,True,1,1.8425430859531844,1442.8865506649015,1,391db898
{'gbdt': 0.9713625491234353},{'gbdt': 10},false,{'boosting_type': 'goss'},,0.6974822970818728,0.24757197814211074,99999,0.001407950218284459,-1,root_mean_squared_error,74,15,98,1,regression,0.8258167576363159,0.27573165525855514,99999,7,serial,True,1,1.955293347352676,2255.5665609836583,1,0c890e84
{'gbdt': 0.9907125124288431},{'gbdt': 4},false,{'boosting_type': 'goss'},,0.9966044864037537,0.846142656624798,99999,0.0009107357480886086,-1,root_mean_squared_error,77,13,140,1,regression,0.1462756251839542,0.09724564468586838,99999,9,serial,True,1,1.9512128955308323,1950.9028069972992,1,0d8de3ae
{'gbdt': 0.9962139528901603},{'gbdt': 7},false,{'boosting_type': 'goss'},,0.8737785894043264,0.4340559518388328,99999,0.0008931813591028323,-1,root_mean_squared_error,96,11,76,1,regression,0.8818711765979259,0.8360054482254807,99999,7,serial,True,1,1.9435710268063755,2090.31640791893,1,0d7645e6
{'gbdt': 0.9630988151810279},{'gbdt': 18},false,"{'boosting_type': 'gbdt', 'subsample': 0.7981642000365812}",balanced,0.7610199559520996,0.8994372304342838,99999,0.0008844800407178476,-1,root_mean_squared_error,44,10,87,1,regression,0.012157738720282696,0.9500372398880487,99999,2,serial,True,1,2.7465787481608706,1358.0365278720856,1,0d22eee6
{'gbdt': 0.969467431392787},{'gbdt': 4},false,"{'boosting_type': 'gbdt', 'subsample': 0.9274583883697789}",balanced,0.6915435480718184,0.4943549166479467,99999,0.0012010525713410417,-1,root_mean_squared_error,65,11,68,1,regression,0.7357876009822998,0.4512872338567139,99999,7,serial,True,1,1.9419795643998452,2014.080465555191,1,592f6b8a
{'gbdt': 0.9530460494282053},{'gbdt': 14},false,{'boosting_type': 'goss'},,0.7186036424014903,0.679054041758268,99999,0.0008046436700483723,-1,root_mean_squared_error,52,9,55,1,regression,0.6022178034822879,0.5310212363712028,99999,15,serial,True,1,1.8433932493854013,2013.9347898960114,1,c8efd260
{'gbdt': 0.9597945127832387},{'gbdt': 21},false,{'boosting_type': 'goss'},,0.6630447525850939,0.7557902480151739,99999,0.0010489817179876327,-1,root_mean_squared_error,91,6,51,1,regression,0.4829104082633561,0.3935064978458113,99999,8,serial,True,1,1.9484796466067449,1750.3438601493835,1,f589221c
{'gbdt': 0.9502888190120505},{'gbdt': 15},false,"{'boosting_type': 'gbdt', 'subsample': 0.501404536879705}",balanced,0.8208047301116517,0.5694711051995889,99999,0.0009742942969864514,-1,root_mean_squared_error,80,17,41,1,regression,0.025207666763800485,0.49336767008014026,99999,6,serial,True,1,2.0029760116302,2238.5929791927333,1,0cf29192
{'gbdt': 0.9927700687156236},{'gbdt': 20},false,"{'boosting_type': 'gbdt', 'subsample': 0.7670986781960366}",,0.7918779883078819,0.23032667874209767,99999,0.0012917816350315563,-1,root_mean_squared_error,85,18,100,1,regression,0.08566466696814878,0.11620153756038365,99999,6,serial,True,1,2.0240962627603225,2785.897210597992,1,0d820fc0
{'gbdt': 0.9539527662715651},{'gbdt': 3},false,{'boosting_type': 'goss'},balanced,0.8762537131482724,0.5188319021258081,99999,0.0009382552585683497,-1,root_mean_squared_error,17,10,121,1,regression,0.0027540470463570665,0.42476438472653133,99999,15,serial,True,1,1.8283293211954328,1764.6003093719482,1,98a3f854
{'gbdt': 0.9505721340069859},{'gbdt': 5},false,{'boosting_type': 'goss'},,0.983134637642405,0.6497598527841776,99999,0.001207028553453178,-1,root_mean_squared_error,52,7,97,1,regression,0.6048513009486038,0.35984708031301615,99999,15,serial,True,1,1.8382665655915735,1517.043800354004,1,0d52ce90
{'gbdt': 0.9647842402799988},{'gbdt': 7},false,{'boosting_type': 'goss'},,0.9081719071580043,0.7455313698689621,99999,0.0008531794722517467,-1,root_mean_squared_error,40,7,52,1,regression,0.6788199536073624,0.7814693543499902,99999,15,serial,True,1,1.8465584514424007,2030.6809792518616,1,e419173a
{'gbdt': 0.9753869246125487},{'gbdt': 1},false,"{'boosting_type': 'gbdt', 'subsample': 0.7202692002021178}",balanced,0.8834243999040701,0.41046424662619063,99999,0.0012299454678956635,-1,root_mean_squared_error,68,8,79,1,regression,0.755601216104222,0.9877139639792373,99999,6,serial,True,1,2.0288402531795837,2910.237324714661,1,0cc9235c
{'gbdt': 0.9772448988891139},{'gbdt': 23},false,"{'boosting_type': 'gbdt', 'subsample': 0.726822913611608}",balanced,0.8269608519527445,0.5251099865861071,99999,0.0008620376473704216,-1,root_mean_squared_error,33,13,38,1,regression,0.8842433995552258,0.669409783614701,99999,3,serial,True,1,2.7254074073211294,2463.3838436603546,1,0cfef59a
{'gbdt': 0.9590784377680038},{'gbdt': 12},false,{'boosting_type': 'goss'},balanced,0.9911482805640582,0.7677697618126265,99999,0.00108568185084838,-1,root_mean_squared_error,46,6,31,1,regression,0.4855858690635736,0.4385250788275469,99999,8,serial,True,1,1.9524234573297936,1691.4629089832306,1,d8a5b93e
{'gbdt': 0.9739006020203843},{'gbdt': 10},false,{'boosting_type': 'goss'},balanced,0.8056222375151332,0.9995317661583096,99999,0.0011270730891851089,-1,root_mean_squared_error,22,18,144,1,regression,0.09872282729619009,0.9524459478600733,99999,9,serial,True,1,1.9768668161305487,1915.3878223896027,1,eeaec9c6
{'gbdt': 0.9506948977250443},{'gbdt': 12},false,"{'boosting_type': 'gbdt', 'subsample': 0.6308620903496899}",,0.8595598519553611,0.4283409712438804,99999,0.0009854288075014797,-1,root_mean_squared_error,28,5,56,1,regression,0.3827025474200345,0.3383947592801948,99999,15,serial,True,1,1.827262812433,2065.6378746032715,1,2a35fac6
{'gbdt': 0.9863427166823692},{'gbdt': 5},false,{'boosting_type': 'goss'},,0.6767642161412992,0.40114783487376326,99999,0.0014894295772221282,-1,root_mean_squared_error,11,8,97,1,regression,0.5600120586770229,0.1587374636304626,99999,12,serial,True,1,1.8574192757941248,1461.5818183422089,1,8d8ba3f6
{'gbdt': 0.9967990144378568},{'gbdt': 23},false,"{'boosting_type': 'gbdt', 'subsample': 0.6186841022251637}",balanced,0.8235746735112949,0.8603947836462121,99999,0.0013893389149540604,-1,root_mean_squared_error,53,19,41,1,regression,0.37269061639889456,0.8810496743625502,99999,10,serial,True,1,1.9462150966001643,1547.9640522003174,1,9bf74e4c
{'gbdt': 0.9889214273775868},{'gbdt': 20},false,"{'boosting_type': 'gbdt', 'subsample': 0.9819281932435467}",,0.6376812950947838,0.4037430415899872,99999,0.0013021726538611684,-1,root_mean_squared_error,63,13,86,1,regression,0.9296403887186717,0.01099469926547747,99999,3,serial,True,1,2.728286861685441,2098.8157715797424,1,cb5123e2
{'gbdt': 0.9882386187698511},{'gbdt': 23},false,"{'boosting_type': 'gbdt', 'subsample': 0.9449440009181262}",,0.9733856998816158,0.1543767268615686,99999,0.0009029415587353257,-1,root_mean_squared_error,75,16,104,1,regression,0.7261798295194569,0.30532613882543125,99999,11,serial,True,1,1.9060906891682523,2935.160387039185,1,0cacbed8
{'gbdt': 0.9847365050914444},{'gbdt': 23},false,"{'boosting_type': 'gbdt', 'subsample': 0.9976742858554264}",,0.7484771362547726,0.2378465153149979,99999,0.0009023103564381536,-1,root_mean_squared_error,76,5,86,1,regression,0.8022471989885822,0.5200218418463268,99999,15,serial,True,1,1.8209197730163147,2458.9608697891235,1,0d0b39b8
{'gbdt': 0.9790602545455876},{'gbdt': 10},false,{'boosting_type': 'goss'},,0.9527643830661087,0.6202083686012604,99999,0.0012124966013775074,-1,root_mean_squared_error,75,12,125,1,regression,0.04341031655842165,0.683885501303111,99999,13,serial,True,1,1.8637589544846325,1664.9822838306427,1,0d2ed62a
{'gbdt': 0.9761194219459729},{'gbdt': 15},false,{'boosting_type': 'goss'},balanced,0.8643492706595008,0.2743283155991986,99999,0.0009647533311479181,-1,root_mean_squared_error,83,5,40,1,regression,0.33739668663938915,0.3811942828086403,99999,9,serial,True,1,1.9215421299813011,2149.5082530975337,1,0d99d6c8
{'gbdt': 0.9979623717751285},{'gbdt': 24},false,"{'boosting_type': 'gbdt', 'subsample': 0.7958178165855163}",,0.9177268975460191,0.2366651050928819,99999,0.0009310680332963794,-1,root_mean_squared_error,31,17,82,1,regression,0.391710306563525,0.7056001675249741,99999,6,serial,True,1,2.0281202260985465,4583.933725833893,1,0d17165c
{'gbdt': 0.978640711082997},{'gbdt': 22},false,"{'boosting_type': 'gbdt', 'subsample': 0.7396690959287922}",,0.9995394435393827,0.8400411593609781,99999,0.001051446911290339,-1,root_mean_squared_error,23,14,125,1,regression,0.026914108045337337,0.22657500661180152,99999,1,serial,True,1,2.7845735112279746,1195.5718033313753,1,0d3aba08
