config/bagging_fraction,config/bagging_freq,config/boost_from_average,config/boosting_type,config/class_weight,config/colsample_bytree,config/feature_fraction,config/iterations,config/learning_rate,config/max_depth,config/metric,config/min_child_samples,config/min_data_in_leaf,config/num_leaves,config/num_threads,config/objective,config/reg_alpha,config/reg_lambda,config/seed,config/subsample_for_bin,config/tree_learner,config/use_missing,config/verbosity,mean_loss,time_total_s,training_iteration,trial_id
{'gbdt': 0.9671231224008852},{'gbdt': 12},false,"{'boosting_type': 'gbdt', 'subsample': 0.6555605525527926}",balanced,0.8609663062290818,0.7692205526942466,100,0.006775999884349958,-1,root_mean_squared_error,16,13,64,1,regression,0.5429407571425038,0.5115804992048469,99999,11,serial,True,1,0.042891620024482914,232.2239363193512,1,a1fdb706
{'gbdt': 0.982209120262091},{'gbdt': 14},false,"{'boosting_type': 'gbdt', 'subsample': 0.659845991105489}",balanced,0.9991356553549967,0.21914258464782946,100,0.010531152122371807,-1,root_mean_squared_error,35,11,65,1,regression,0.18643783122983063,0.8200306043174506,99999,8,serial,True,1,0.03690361775743378,234.89049458503723,1,22b6df4c
{'gbdt': 0.950690001915628},{'gbdt': 14},false,{'boosting_type': 'goss'},balanced,0.9528462894493956,0.2960633766327341,100,0.013938887101230674,-1,root_mean_squared_error,91,14,81,1,regression,0.536486068570098,0.4387102260961446,99999,8,serial,True,1,0.03765695242726342,202.17921209335327,1,95b299a8
{'gbdt': 0.9536503764236738},{'gbdt': 15},false,"{'boosting_type': 'gbdt', 'subsample': 0.5537831682574219}",,0.9905584533873251,0.3105610880729681,100,0.036100057900315376,-1,root_mean_squared_error,17,9,142,1,regression,0.07102214570140611,0.08768050405746869,99999,8,serial,True,1,0.03419016404322689,158.18408417701718,1,72bd12cc
{'gbdt': 0.9936404101958428},{'gbdt': 13},false,"{'boosting_type': 'gbdt', 'subsample': 0.509605563815158}",balanced,0.9683442983983696,0.05200020109630382,100,0.02370752076908785,-1,root_mean_squared_error,33,13,125,1,regression,0.20603724684622,0.7181540780993343,99999,12,serial,True,1,0.03770296876007463,169.36703300476074,1,73962d5c
{'gbdt': 0.958748886626362},{'gbdt': 10},false,"{'boosting_type': 'gbdt', 'subsample': 0.734553028551279}",,0.6449659644411403,0.7270837488663595,100,0.07509881898237428,-1,root_mean_squared_error,82,8,114,1,regression,0.8507671474729244,0.5810678264343692,99999,4,serial,True,1,0.03584590860608415,143.9593193531036,1,1347230e
{'gbdt': 0.996107643354529},{'gbdt': 24},false,"{'boosting_type': 'gbdt', 'subsample': 0.5110135742170104}",balanced,0.9486251374025539,0.1136626194913129,100,0.020286684731931036,-1,root_mean_squared_error,76,14,42,1,regression,0.43808954242604115,0.932176832204574,99999,5,serial,True,1,0.03433892311257843,177.10348796844482,1,a7026c40
{'gbdt': 0.9539151492783597},{'gbdt': 13},false,"{'boosting_type': 'gbdt', 'subsample': 0.7394977473850068}",,0.9380010856425642,0.44404899741654213,100,0.030128857950207876,-1,root_mean_squared_error,19,15,129,1,regression,0.1868020702740046,0.9184897783470073,99999,7,serial,True,1,0.0456999276362647,159.55597519874573,1,0c9600dc
{'gbdt': 0.9521786700455434},{'gbdt': 15},false,"{'boosting_type': 'gbdt', 'subsample': 0.5903668235279347}",balanced,0.9535389135978367,0.23764116397634133,100,0.020242829320131182,-1,root_mean_squared_error,100,9,149,1,regression,0.31372353320133683,0.9764278626240221,99999,1,serial,True,1,0.016172055269816073,143.41251564025882,1,0d40239c
{'gbdt': 0.9689348610315773},{'gbdt': 20},false,"{'boosting_type': 'gbdt', 'subsample': 0.6876945670278841}",balanced,0.9888269506899722,0.38602119478694313,100,0.036604216756311196,-1,root_mean_squared_error,47,9,101,1,regression,0.26497589990653897,0.8008195464163215,99999,13,serial,True,1,0.03933531498695479,151.81862401962283,1,36ccbf98
{'gbdt': 0.9563845664705127},{'gbdt': 18},false,"{'boosting_type': 'gbdt', 'subsample': 0.9077484412450583}",balanced,0.6871544153741771,0.6131412762424258,100,0.027236531213704573,-1,root_mean_squared_error,49,14,88,1,regression,0.709021848269123,0.7119354798349427,99999,6,serial,True,1,0.02857608710216065,167.6253974437714,1,44051586
{'gbdt': 0.9647257337676803},{'gbdt': 15},false,"{'boosting_type': 'gbdt', 'subsample': 0.6580956504067326}",balanced,0.9997333717113959,0.22570352939581267,100,0.011058282145911971,-1,root_mean_squared_error,87,9,131,1,regression,0.0012438375107458322,0.8190443996669077,99999,14,serial,True,1,0.03814243502323514,189.96084451675412,1,a63c28fe
{'gbdt': 0.9950356930613621},{'gbdt': 2},false,"{'boosting_type': 'gbdt', 'subsample': 0.7996933616068072}",balanced,0.7376603722426934,0.27317132025320673,100,0.023220344165697345,-1,root_mean_squared_error,100,18,111,1,regression,0.5976309754051801,0.5860927274643226,99999,10,serial,True,1,0.042567947709059084,175.61474657058716,1,7de88c54
{'gbdt': 0.9785513208971345},{'gbdt': 12},false,"{'boosting_type': 'gbdt', 'subsample': 0.6743893174089456}",balanced,0.6817331518853822,0.36982423934743974,100,0.04050732098851181,-1,root_mean_squared_error,6,14,134,1,regression,0.009331010141334695,0.8161527458478619,99999,10,serial,True,1,0.04092628631244702,149.89705753326416,1,2e984868
{'gbdt': 0.9608370840637621},{'gbdt': 19},false,"{'boosting_type': 'gbdt', 'subsample': 0.6763159124901263}",,0.9710050885315253,0.09617109090390608,100,0.05603500393941966,-1,root_mean_squared_error,62,8,55,1,regression,0.4295444185961388,0.4575585503327101,99999,12,serial,True,1,0.040984905511590425,163.93406319618225,1,bfbeb7b6
{'gbdt': 0.9660541391476019},{'gbdt': 15},false,"{'boosting_type': 'gbdt', 'subsample': 0.5593953486092514}",,0.9954844680220684,0.32053841067010835,100,0.0343541205137476,-1,root_mean_squared_error,64,9,63,1,regression,0.3849765416979267,0.818536487601282,99999,14,serial,True,1,0.03973196409312945,150.47791290283203,1,99e2053e
{'gbdt': 0.9823546300737193},{'gbdt': 15},false,"{'boosting_type': 'gbdt', 'subsample': 0.6251579242083694}",balanced,0.8813774464501345,0.2516698513763427,100,0.011181741930256695,-1,root_mean_squared_error,78,18,90,1,regression,0.0737412039902369,0.8263596197331978,99999,14,serial,True,1,0.0389334333482597,191.43270349502563,1,84d77d14
{'gbdt': 0.9999629353592733},{'gbdt': 8},false,{'boosting_type': 'goss'},balanced,0.8298141432909307,0.6740142123838182,100,0.03758125451946127,-1,root_mean_squared_error,80,19,96,1,regression,0.39026618078801467,0.676609497352091,99999,15,serial,True,1,0.046472688602017566,149.65289187431338,1,fb052506
{'gbdt': 0.9948089470921533},{'gbdt': 13},false,"{'boosting_type': 'gbdt', 'subsample': 0.5060508997599107}",balanced,0.9676088886584903,0.35377344360922847,100,0.025905192251178807,-1,root_mean_squared_error,42,7,136,1,regression,0.9682871806020514,0.7016633020410008,99999,7,serial,True,1,0.0432320109768384,172.29188442230225,1,dd3df2b2
{'gbdt': 0.9895117077294385},{'gbdt': 3},false,"{'boosting_type': 'gbdt', 'subsample': 0.5407901197984505}",balanced,0.8697360000695415,0.4896317033558224,100,0.013363452457338597,-1,root_mean_squared_error,83,19,35,1,regression,0.6090360644450302,0.713184384195507,99999,14,serial,True,1,0.048580331645028715,192.46952223777768,1,9ae35a00
{'gbdt': 0.9908508917373513},{'gbdt': 24},false,"{'boosting_type': 'gbdt', 'subsample': 0.5898333840315604}",balanced,0.9250785603586389,0.695744004354038,100,0.034865689676356185,-1,root_mean_squared_error,33,8,112,1,regression,0.18068644416014124,0.9163369588460983,99999,9,serial,True,1,0.04389066036963488,154.03479290008542,1,08d6a2ea
{'gbdt': 0.9872982165179272},{'gbdt': 8},false,"{'boosting_type': 'gbdt', 'subsample': 0.5344992331149675}",balanced,0.9156157966069435,0.16706879332461955,100,0.02988503353100063,-1,root_mean_squared_error,8,7,105,1,regression,0.10297437052681468,0.4965994288788498,99999,11,serial,True,1,0.034429501777588314,176.62407851219174,1,70d48aa0
{'gbdt': 0.9500006972814541},{'gbdt': 23},false,{'boosting_type': 'goss'},balanced,0.9783887676665277,0.35433988921634885,100,0.010494295227149725,-1,root_mean_squared_error,56,7,74,1,regression,0.5819799801884393,0.39314046193963353,99999,10,serial,True,1,0.041771007368635205,189.09766030311584,1,49f75820
{'gbdt': 0.9788759081936441},{'gbdt': 1},false,"{'boosting_type': 'gbdt', 'subsample': 0.5016610662318322}",balanced,0.9514514582889149,0.1786828450151166,100,0.009936511437379371,-1,root_mean_squared_error,97,13,34,1,regression,0.21813291321389686,0.5273210966321743,99999,7,serial,True,1,0.048128581747520785,213.520720243454,1,c7eb08b0
{'gbdt': 0.9945787770491114},{'gbdt': 10},false,{'boosting_type': 'goss'},balanced,0.6189105723342265,0.3692549046256543,100,0.008582794550984119,-1,root_mean_squared_error,85,6,91,1,regression,0.29612327090790935,0.0840646142679835,99999,15,serial,True,1,0.04277454185324376,188.79803895950317,1,9.565000000000002e+68
{'gbdt': 0.9654753643391483},{'gbdt': 15},false,"{'boosting_type': 'gbdt', 'subsample': 0.5675540381479579}",balanced,0.6582455117722592,0.36387783110207395,100,0.015782595474085667,-1,root_mean_squared_error,24,8,140,1,regression,0.03695344783617971,0.7744622476660424,99999,7,serial,True,1,0.04556706315196909,179.43815541267395,1,f6334dfc
{'gbdt': 0.976567390428452},{'gbdt': 17},false,"{'boosting_type': 'gbdt', 'subsample': 0.7381076255628934}",,0.8241858551468041,0.18284532936113132,100,0.0359227854873027,-1,root_mean_squared_error,30,18,136,1,regression,0.35622883085700835,0.6742887009046915,99999,10,serial,True,1,0.047607611836425874,169.76916742324832,1,acfe3e26
{'gbdt': 0.9871339408604819},{'gbdt': 11},false,"{'boosting_type': 'gbdt', 'subsample': 0.8934370342168172}",balanced,0.8965153149387044,0.8510436928876592,100,0.014272344824112073,-1,root_mean_squared_error,92,11,47,1,regression,0.8398014618025422,0.8715066160027185,99999,1,serial,True,1,0.018970635420985742,147.34515976905826,1,69f3f262
{'gbdt': 0.9597975579090039},{'gbdt': 15},false,"{'boosting_type': 'gbdt', 'subsample': 0.7057844522040622}",balanced,0.6765063346751192,0.39329237806951434,100,0.009338639754701934,-1,root_mean_squared_error,79,5,136,1,regression,0.934807971752387,0.5943768762859374,99999,12,serial,True,1,0.038624334212251116,217.53562688827515,1,9cc45470
{'gbdt': 0.9716319606854825},{'gbdt': 12},false,"{'boosting_type': 'gbdt', 'subsample': 0.5605194855345466}",,0.7880617141458683,0.492684171943022,100,0.052881314115160005,-1,root_mean_squared_error,80,5,149,1,regression,0.18587839999643258,0.9091125439498587,99999,10,serial,True,1,0.043427531272536235,151.91857981681827,1,6ecf51f2
{'gbdt': 0.9651582052500414},{'gbdt': 8},false,"{'boosting_type': 'gbdt', 'subsample': 0.9384483655273248}",balanced,0.6035003863437949,0.21108398229709224,100,0.012260482877738173,-1,root_mean_squared_error,32,17,82,1,regression,0.40866464940616976,0.03935171030560303,99999,7,serial,True,1,0.044591824271345136,225.24478650093081,1,94abd20a
{'gbdt': 0.9890723670671356},{'gbdt': 10},false,{'boosting_type': 'goss'},balanced,0.8699100582716324,0.6475157790153436,100,0.047948174853634534,-1,root_mean_squared_error,83,9,134,1,regression,0.16757640360965953,0.33663319943177517,99999,15,serial,True,1,0.047141117875792456,148.7031672000885,1,95879ae2
{'gbdt': 0.9812209953223874},{'gbdt': 4},false,{'boosting_type': 'goss'},balanced,0.9675539404570319,0.39641324570729575,100,0.013985811791911305,-1,root_mean_squared_error,32,11,31,1,regression,0.5922853344470749,0.3795917444762309,99999,14,serial,True,1,0.047101887536703566,172.0395796298981,1,30a14fba
{'gbdt': 0.9687162631090793},{'gbdt': 15},false,"{'boosting_type': 'gbdt', 'subsample': 0.69432150518209}",balanced,0.9466533735433097,0.2987779141457781,100,0.02525327863092789,-1,root_mean_squared_error,75,5,99,1,regression,0.2094046074800182,0.9273978846174046,99999,8,serial,True,1,0.03706270196755752,173.46274423599243,1,a3a04c66
{'gbdt': 0.9801519571733617},{'gbdt': 6},false,"{'boosting_type': 'gbdt', 'subsample': 0.9970628168689057}",balanced,0.7169094048886746,0.999575504605121,100,0.05950603263410586,-1,root_mean_squared_error,71,9,147,1,regression,0.4396647237167265,0.9285478755736605,99999,5,serial,True,1,0.035000020023030244,151.37545323371887,1,495f639c
{'gbdt': 0.9588214049665453},{'gbdt': 20},false,{'boosting_type': 'goss'},,0.9516615971727393,0.44803637888408554,100,0.05726318074767272,-1,root_mean_squared_error,24,19,51,1,regression,0.2847786138463799,0.9398836084549793,99999,2,serial,True,1,0.03175656109160766,137.76705288887024,1,870a9b6e
{'gbdt': 0.9692855780412878},{'gbdt': 16},false,"{'boosting_type': 'gbdt', 'subsample': 0.8512228516363023}",balanced,0.6981304096113052,0.3327218650082508,100,0.08475051179392296,-1,root_mean_squared_error,31,10,91,1,regression,0.06770948873859736,0.16411312115369797,99999,10,serial,True,1,0.04623150995127855,133.09938073158264,1,6dba4eec
